#
#  chlamycyc 8.0 Reactions link table generated on Fri Jun 29, 2018
#
3.2.1.58-RXN	EC-3.2.1.58
RXN-8368	EC-1.14.19.35
RXN-13641	EC-5.2.1.14
RXN-15082	EC-1.14.11
IMPCYCLOHYDROLASE-RXN	EC-3.5.4.10
SHIKIMATE-5-DEHYDROGENASE-RXN	EC-1.1.1.25
RXN-12132	
SPONTPRO-RXN	
RXN-5481	
RXN-12263	EC-2.5.1.103
2.6.1.57-RXN	EC-2.6.1.57
RXN-13833	
2.7.9.4-RXN	EC-2.7.9.4
LIPOPROTEIN-LIPASE-RXN	EC-3.1.1.34
RXN-8314	EC-1.14.19.35
CHORISMATEMUT-RXN	EC-5.4.99.5
BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN	EC-1.2.1.28
RXN-7902	EC-3.1.2.14
2.7.1.140-RXN	EC-2.7.1.140
1.5.5.1-RXN	EC-1.5.5.1
TRANS-RXN0-268	EC-3.6.3.23
DXS-RXN	EC-2.2.1.7
3.2.1.14-RXN	EC-3.2.1.14
RXN-17890	EC-2.3.2.8
RXN-12391	EC-2.4.1.25
FRUCTOKINASE-RXN	EC-2.7.1.4
GPPSYN-RXN	EC-2.5.1.1
RXN-13805	EC-2.3.1.15
TREHALA-RXN	EC-3.2.1.28
RXN66-476	EC-1.2.1.3
RXN-17473	
RXN0-5098	EC-6.3.1.20
NACGLCTRANS-RXN	EC-2.4.1.227
3.1.1.82-RXN	EC-3.1.1.82
DOPAMINE-BETA-MONOOXYGENASE-RXN	EC-1.14.17.1
RXN-14139	EC-3.6.1.9
UTPHEXPURIDYLYLTRANS-RXN	EC-2.7.7.64	EC-2.7.7.10
MYO-INOSITOL-OXYGENASE-RXN	EC-1.13.99.1
SPHINGOSINE-N-ACYLTRANSFERASE-RXN	EC-2.3.1.24
DEOXYGLUCONOKIN-RXN	EC-2.7.1.178
PYRNUTRANSHYDROGEN-RXN	EC-1.6.1.2	EC-1.6.1.3	EC-1.6.1.1
RXN-9550	EC-3.1.2.14
RXN-18970	
RXN-8215	EC-1.14.99
ETHANOLAMINEPHOSPHOTRANSFERASE-RXN	EC-2.7.8.1
TRANS-RXNIO2-4	
ACYLPYRUVATE-HYDROLASE-RXN	EC-3.7.1.5
HALOALKANE-DEHALOGENASE-RXN	EC-3.8.1.5
RXN-15681	EC-4.3.2
PYRIMSYN1-RXN	EC-4.1.99.17
ALCOHOL-DEHYDROG-GENERIC-RXN	EC-1.1.1.1
1.14.11.18-RXN	EC-1.14.11.18
COBALAMINSYN-RXN	EC-2.7.8.26
GLYCOGENSYN-RXN	EC-2.4.1.21
RXN-11222	EC-6.3.2.11
RXN1G-240	EC-1.1.1
RXN-11754	EC-2.1.1.201
RXN-14016	EC-1.14.13
RXN0-6981	EC-3.4.13.18
RXN-8378	EC-4.99.1.10
RXN-7683	EC-2.7.1.182
2-OCTAPRENYLPHENOL-HYDROX-RXN	EC-1.14.13.M55
RXN-11126	EC-6.3.2
RXN-8026	
GLUTDECARBOX-RXN	EC-4.1.1.15
RXN-13893	EC-1.3.1
RXN-19145	EC-2.3.2.5
RXN-12561	EC-2.3.1.9
ADENYLYLSULFKIN-RXN	EC-2.7.1.25
CARBOXYLESTERASE-RXN	EC-3.1.1.1
RIBOFLAVINSYNREDUC-RXN	EC-1.1.1.193
RXN-14188	EC-3.6.1
TIGLYLCOA-HYDROXY-RXN	EC-4.2.1.17
DIMETHYLARGININASE-RXN	EC-3.5.3.18
3-OXOACYL-ACP-SYNTH-RXN	EC-2.3.1.179	EC-2.3.1.41	EC-2.3.1.85	EC-2.3.1.86
TRANS-RXN-178	EC-3.6.3
PRPPSYN-RXN	EC-2.7.6.1
RXN-8964	EC-2.8.3.22
RXN-8700	EC-2.1.1.291
RXN-14250	EC-1.14.18.5
1.14.13.8-RXN	EC-1.14.13.8
DOLICHOL-KINASE-RXN	EC-2.7.1.108
PRPPAMIDOTRANS-RXN	EC-2.4.2.14
3.1.1.47-RXN	EC-3.1.1.47
RXN-11928	EC-1.1.1
3.6.4.6-RXN	EC-3.6.4.6
GST-RXN	EC-2.5.1.18
RXN-9635	EC-1.3.1.9
TRANSALDOL-RXN	EC-2.2.1.2
RXN-13961	EC-1.14.13.70
1.2.1.13-RXN	EC-1.2.1.13
N-ACETYLGLUTPREDUCT-RXN	EC-1.2.1.38
4OH2OXOGLUTARALDOL-RXN	EC-4.1.3.16
ANTHRANSYN-RXN	EC-4.1.3.27
RXN-12565	EC-2.3.1.16
HYDROXYLAMINE-REDUCTASE-RXN	EC-1.7.99.1
TRANS-RXN0-553	
RXN-15511	
RXN-8771	EC-1.13.11.79
RXN-14353	EC-2.4.1.1
RXN0-5515	EC-2.7.7.41
RXNIO2-6	EC-1.14.99
RXN-8187	
TRANS-RXNIO2-2	
ISOVALERYLCOA-DHLIPOAMIDE-RXN	EC-2.3.1.168
3.1.1.81-RXN	EC-3.1.1.81
RXN-13882	EC-1.3.1
GLUTAMIDOTRANS-RXN	EC-4.3.2
RXN-12610	EC-2.5.1.3
RXN-7738	EC-3.1.1.14
UDP-GLUCURONOSYLTRANSFERASE-RXN	EC-2.4.1.17
CYSTEINE-DIOXYGENASE-RXN	EC-1.13.11.20
DIPHTINE--AMMONIA-LIGASE-RXN	EC-6.3.1.14
RXN-14029	EC-2.4.2.1
3.2.1.23-RXN	EC-3.2.1.23
RXN-15509	
DCMP-DEAMINASE-RXN	EC-3.5.4.12
RXN3O-1380	EC-1.14.18.5
RXN4LZ-39	
RXN-11878	EC-1.3.1
RXN-161	EC-1.1.1
RXN0-4281	EC-1.1.1
RXN-18400	
RXN-18187	
RXN-15597	
GLYOHMETRANS-RXN	EC-2.1.2.1
NITRIC-OXIDE-SYNTHASE-RXN	EC-1.14.13.39
RXN-11619	EC-1.2.1.94
RXN-13133	EC-1.14.14.bf
RXN-12218	EC-3.1.3
3.2.1.1-RXN	EC-3.2.1.1
RXN-15878	EC-1.17.7.3
UGD-RXN	EC-1.1.1.22
GMKALT-RXN	EC-2.7.4.13	EC-2.7.4.12
ACETYL-COA-HYDROLASE-RXN	EC-3.1.2.1
RXN-14200	EC-3.6.1.5
RXN-11623	EC-1.8.3.6
RXN-8296	EC-1.14.19.23
RXN-12969	EC-4.2.1.134
ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.2
RXN0-5257	
ACSERLY-RXN	EC-2.5.1.47
RXN-13756	EC-2.7.4.27
RXN-10960	EC-3.1.3.66
RIBOFLAVIN-SYN-RXN	EC-2.5.1.9
RXN-8770	EC-3.1.3.73
RXN-15581	
2.4.2.39-RXN	EC-2.4.2.39
ALANOPINE-DEHYDROGENASE-RXN	EC-1.5.1.17
RXN-10009	EC-2.5.1.105
RXN-2221	EC-1.14.13.237
DCYSDESULF-RXN	EC-4.4.1.15
RXN-14570	EC-2.3.1.234
MALATE-DEHYDROGENASE-NADP+-RXN	EC-1.1.1.82
SUCCCOASYN-RXN	EC-6.2.1.5
N-CARBAMOYLSARCOSINE-AMIDASE-RXN	EC-3.5.1.59
ACID-PHOSPHATASE-RXN	EC-3.1.3.2
RXN-2962	EC-1.1.1.284
RXN-7971	EC-1.1.1.287
TRANS-RXN-238	EC-3.6.3
CARBODEHYDRAT-RXN	EC-4.2.1.1
RXN-18703	
RXN-11396	EC-3.6.1.55
NITRITE-REDUCTASE-CYTOCHROME-RXN	EC-1.7.2.1
TRANS-RXN0-552	
RXN-8976	EC-2.4.1.227
RXN-8568	EC-1.3.1.95
RXN-11361	EC-2.7.7.80
RXN-10862	EC-3.6.1.5
APIGNAR-RXN	EC-5.5.1.6
RXN3O-458	EC-2.7.1.91
ALLENE-OXIDE-CYCLASE-RXN	EC-5.3.99.6
RXN-7610	EC-1.7.3.3
RXN0-6385	EC-2.8.1
RXN-12412	
STRICTOSIDINE-SYNTHASE-RXN	EC-4.3.3.2
RXN-14017	
TRANS-RXNIO2-1	
DOPACHROME-DELTA-ISOMERASE-RXN	EC-5.3.3.12
URIDINEKIN-RXN	EC-2.7.1.48
RXN0-6957	EC-3.6.1.56
ATP-CITRATE-PRO-S--LYASE-RXN	EC-2.3.3.8
RXN-8654	
SPHINGOMYELIN-PHOSPHODIESTERASE-RXN	EC-3.1.4.12
TDCEACT-RXN	EC-1.97.1.4
RXN1G-72	EC-1.1.1
RXN-11956	EC-1.14.13
RXN-5282	
O-SUCCINYLBENZOATE-COA-LIG-RXN	EC-6.2.1.26
RXN-15582	
RXN-11502	EC-3.2.1
1.14.13.98-RXN	EC-1.14.14.25
RXN-1404	EC-3.5.5.1
RXN-12300	EC-1.1.1
RXN-7251	EC-3.1.3
PPPGPPHYDRO-RXN	EC-3.6.1.40
RXN-18107	
RXN-13536	EC-1.1.1
3.6.3.30-RXN	EC-3.6.3.30
RXN-18702	
4.1.1.32-RXN	EC-4.1.1.32
2.4.1.225-RXN	EC-2.4.1.225
ATP-PYROPHOSPHATASE-RXN	EC-3.6.1.8
RXN-13938	
RXN-5468	EC-2.4.1.260
CARDIOLIPSYN-RXN	EC-2.7.8
2.7.1.139-RXN	EC-2.7.1.159
RXN-14018	EC-1.14.13
RXN-18104	
2.3.1.41-RXN	EC-2.3.1.179
ALDEHYDE-OXIDASE-RXN	EC-1.2.3.1
3.6.3.19-RXN	EC-3.6.3.19
RXN0-5254	
RXN-7682	EC-1.17.1.4
ADPREDUCT-RXN	EC-1.17.4.1
RXN-5985	EC-2.8.1.6
RXN-11267	EC-2.1.1.165
MBCOA-DHLIPOAMIDE-RXN	EC-2.3.1.168
RXN-13645	
RXN-9597	EC-1.4.3.21
RXN-6883	EC-1.10.3.11
ATP-ADENYLYLTRANSFERASE-RXN	EC-2.7.7.53
RXN-18584	EC-1.10.2.2
TROPINE-DEHYDROGENASE-RXN	EC-1.1.1.206
3.6.1.17-RXN	EC-3.6.1.17
RXN-14215	
RXN-14198	EC-3.6.1.5
2.4.1.198-RXN	EC-2.4.1.198
RXN-12971	EC-1.3.1.93
RXN-18581	
RXN-9731	
DMK-RXN	EC-2.5.1.74
RXN-11355	EC-1.3.5.5
RXN-11400	EC-5.2.1
RXNIO2-5	EC-1.14.99
RXN0-984	EC-1.14.11.33
PPGPPSYN-RXN	EC-3.1.7.2
AMIDASE-RXN	EC-3.5.1.4
RXN-12299	EC-1.1.1
RXN-14093	EC-2.7.1.74	EC-2.7.1.145
GLUTKIN-RXN	EC-2.7.2.11
GLYCEROL-1-PHOSPHATASE-RXN	EC-3.1.3.21
ACYLACPSYNTH-RXN	EC-6.2.1.20
RXN-12160	EC-2.1.1.222
RXN-777	EC-1.14.99
FORMYLTHFDEFORMYL-RXN	EC-3.5.1.10
RXN-15121	
RXN-9386	EC-6.1.1.24
CITSYN-RXN	EC-2.3.3.16	EC-2.3.3.1
NITRIC-OXIDE-REDUCTASE-RXN	EC-1.7.2.5
RXN-2881	EC-2.1.2
RXN-6622	EC-3.4.13.18
2.5.1.19-RXN	EC-2.5.1.19
P-PANTOCYSLIG-RXN	EC-6.3.2.5
R344-RXN	EC-2.5.1.17
SULFITE-REDUCT-RXN	EC-1.8.1.2
RIBOSYLPYRIMIDINE-NUCLEOSIDASE-RXN	EC-3.2.2.8
RXN-14992	EC-2.1.1.297
DIHYDROOROTATE-DEHYDROGENASE-RXN	EC-1.3.5.2
RXN-12277	EC-3.1.3
GLUCOKIN-RXN	EC-2.7.1.1	EC-2.7.1.2
RXN-9629	EC-3.1.2.2
RXN-11832	EC-2.7.4.14	EC-2.7.4.25
GSAAMINOTRANS-RXN	EC-5.4.3.8
2.7.1.149-RXN	EC-2.7.1.149
RXN-7605	EC-2.1.1
RXN-5464	EC-2.4.1.131
TREHALOSE6PSYN-RXN	EC-2.4.1.15
PHENDEHYD-RXN	EC-1.2.1.39
RXN-4941	EC-2.7.1
RXN-12625	EC-3.2.1.52
3.6.3.25-RXN	EC-3.6.3.25
THIOL-S-METHYLTRANSFERASE-RXN	EC-2.1.1.9
RXN-15122	
RXN-18344	
RXN-7884	EC-1.13.11
RXN-12490	EC-1.1.1.35
RXN-18184	
RXN-12090	EC-1.5.3.17
RXN-14438	EC-2.1.1.44
PYRUFLAVREDUCT-RXN	EC-1.2.7.1
RXN-7186	EC-2.7.1.140
RXN-12754	
3.5.5.1-RXN	EC-3.5.5.1
PRIBFAICARPISOM-RXN	EC-5.3.1.16
RXN-14431	EC-2.1.1.44
3.6.3.44-RXN	EC-3.6.3.44
RXN0-5223	EC-2.7.1
GLUCOSE-1-PHOSPHAT-RXN	EC-3.1.3.10
RXN-9944	EC-1.8.7.2
PYRAMKIN-RXN	EC-2.7.1.35
THIOREDOXIN-RXN	
1.6.5.4-RXN	EC-1.6.5.4
APYRASE-RXN	EC-3.6.1.5
OROTATE-REDUCTASE-NADH-RXN	EC-1.3.1.14
RXN-14991	EC-1.5.3.22
PHOSPHOLIPASE-C-RXN	EC-3.1.4.3
RXN-14373	
RXN-14921	EC-5.5.1.24
RXN1G-508	EC-1.1.1.100
RXN-2761	EC-2.5.1.117
CYCLOEUCALENOL-CYCLOISOMERASE-RXN	EC-5.5.1.9
TRANS-RXN-230	
SULFITE-DEHYDROGENASE-RXN	EC-1.8.2.1
RXN-8351	EC-2.8.1.9
RXN-8141	EC-2.7.8.41
RXN-17485	EC-1.3.7.7
RXN1G-469	EC-1.1.1.100
RXN-14932	EC-1.1.99.39
SQUALENE-MONOOXYGENASE-RXN	EC-1.14.14.17
RXN0-5398	EC-4.2.1.70
5.3.1.23-RXN	EC-5.3.1.23
RXN-7921	
RXN-9658	EC-1.3.1.9
RXN-11272	
RXN-3521	
5.1.1.18-RXN	EC-5.1.1.18
RXNQT-4147	
RXN-18343	
LACTALDDEHYDROG-RXN	EC-1.2.1.22
RXN-6763	EC-4.4.1.13
RXN-14005	EC-3.6.1
PNPOXI-RXN	EC-1.4.3.5
TRANS-RXN0-264	
RXN-15468	
RXN-10973	EC-2.7.4.24
RXN-7920	EC-3.1.3.62
RXN-15215	EC-3.2.1.169
DIHYDRODIPICSYN-RXN	EC-4.3.3.7
DTDPKIN-RXN	EC-2.7.4.6
FERREDOXIN--NITRITE-REDUCTASE-RXN	EC-1.7.7.1
RXN-17472	
RXN-14903	EC-1.5.5.2
RXN-9553	EC-4.2.1
2.5.1.64-RXN	EC-2.2.1.9
RXN-15430	EC-1.14.13
6.3.5.7-RXN	EC-6.3.5.7
TRIPHOSPHATASE-RXN	EC-3.6.1.25
RXN1G-358	EC-1.1.1
ISPH2-RXN	EC-1.17.7.4
2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN	EC-1.2.1
RXN-4021	EC-2.1.1.41
RXN0-1441	EC-3.6.1.53
RXN-6268	
RXN-13896	
2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	EC-2.3.1.22
GLUTAMIN-RXN	EC-3.5.1.38	EC-3.5.1.2
RXN-7607	EC-3.1.3.99	EC-3.1.3.5
MERCAPYSTRANS-RXN	EC-2.8.1.2
DUTP-PYROP-RXN	EC-3.6.1.23	EC-3.6.1.9
RXN-11892	EC-3.2.1.169
ENZRXN-161-RXN	EC-1.1.1
RXN66-474	EC-6.2.1
RXN-8460	EC-1.13.11.29
3.6.3.46-RXN	EC-3.6.3.46
GPH-RXN	EC-3.1.3.18
RXN0-1133	EC-2.3.1.12
2.1.1.142-RXN	EC-2.1.1.142
RXN-14187	EC-3.6.1.6
2.4.1.228-RXN	EC-2.4.1.228
RXN-5471	EC-2.4.1.265
METHENYLTHFCYCLOHYDRO-RXN	EC-3.5.4.9
3.2.1.154-RXN	EC-3.2.1.154
HISTALDEHYD-RXN	
2.7.7.14-RXN	EC-2.7.7.14
RXN-10980	
DLACTDEHYDROGNAD-RXN	EC-1.1.1.28
ARALKYLAMINE-N-ACETYLTRANSFERASE-RXN	EC-2.3.1.87
1.14.13.70-RXN	EC-1.14.13.70
RXN-9514	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-11837	EC-5.4.99.23
RXN-9217	EC-2.5.1.74
RXN1G-488	EC-1.3.1.9
ABC-25-RXN	EC-3.6.3
RXN-12871	
RXN-12729	EC-4.4.1.8
GDPPYPHOSKIN-RXN	EC-2.7.6.5
RXN-13897	
RXN-13633	
RXN-10745	EC-1.6.3.1
TRANS-RXN0-571	
RXN-8773	EC-1.1.1.21
RXN-10814	EC-2.6.1.1
3PGAREARR-RXN	EC-5.4.2.12
RXN3DJ-170	EC-4.1.1.28
S-6-HYDROXYNICOTINE-OXIDASE-RXN	EC-1.5.3.5
RXN-12799	EC-1.14.13.109
2.4.1.32-RXN	EC-2.4.1.32
RXN-18342	
COBALAMIN5PSYN-RXN	EC-2.7.8.26
BIOTINLIG-RXN	EC-6.3.4.15
DALADALALIG-RXN	EC-6.3.2.4
GLUTAMATE-DEHYDROGENASE-NADP+-RXN	EC-1.4.1.3
RXN-8346	EC-1.14.19.30
RXN66-303	
RXN-10956	
PRTRANS-RXN	EC-2.4.2.18
RXN0-363	EC-3.2.2.1
RXN-10774	EC-3.6.1.60
RXN-11650	
RXN-8025	
RXN-9518	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
MANNPGUANYLTRANGDP-RXN	EC-2.7.7.22
ACETYLORNTRANSAM-RXN	EC-2.6.1.11
HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN	EC-2.3.3.10
RXN-13883	EC-1.14.19.20
RXN-12968	EC-1.1.1.330
RXN-12069	EC-1.14.15.16
2.6.1.22-RXN	EC-2.6.1.22
RXN0-5245	
PABASYN-RXN	EC-2.6.1.85
RXN-11026	EC-1.3.3.6
RXNIO2-1	EC-1.14.99
RXN-13614	EC-6.2.1.3
RXNQT-4164	EC-4.2.1.170
RXN-15650	EC-2.6.1
RXN-12410	EC-1.3.99.29
RXN-13926	EC-1.1.1.170
RXN-13301	EC-1.1.1.330
3.2.1.37-RXN	EC-3.2.1.37
RXN-9360	EC-2.5.1.74
DEOXYADENOSINE-KINASE-RXN	EC-2.7.1.74	EC-2.7.1.76	EC-2.7.1.145
CARNOSINE-SYNTHASE-RXN	EC-6.3.2.11
3.5.2.17-RXN	EC-3.5.2.17
RXN-9971	EC-1.3.1.94
IPPISOM-RXN	EC-5.3.3.2
RXN0-5116	EC-2.7.1.16
RXN-11376	EC-2.7.1.91
1.1.1.188-RXN	EC-1.1.1.188
NUCLEOSIDE-DIPHOSPHATASE-RXN	EC-3.6.1.6
RXNQT-4142	EC-3.1.3.93
RXN-10974	EC-2.7.4.21	EC-2.7.4.24
RXN-12089	EC-1.5.3.17
RXN-14971	EC-1.3.5.1
RXN-7719	EC-1.8.1.4
1.2.4.4-RXN	EC-1.2.4.4
RXN0-308	EC-2.8.1.7
RXNQT-4394	EC-2.7.8.5
DEPHOSPHOCOAKIN-RXN	EC-2.7.1.24
RXN-11409	
RXN66-23	EC-1.1.1.170
RXN-10696	EC-1.3.3.6
RXN-12870	
RXN-7250	EC-3.1.3.62
GUANIDINOACETATE-N-METHYLTRANSFERASE-RXN	EC-2.1.1.2
3.1.4.47-RXN	EC-4.6.1.14
RXN-11408	
RXNQT-4345	EC-2.6.1
RXN-12618	EC-3.4.19.13
RXN-15447	
RXN0-5184	EC-2.4.1.1
1.14.13.101-RXN	EC-1.14.13.101
GMP-SYN-GLUT-RXN	EC-6.3.5.2
THYKI-RXN	EC-2.7.1.145	EC-2.7.1.21
3.6.3.6-RXN	EC-3.6.3.6
SEDOHEPTULOSE-BISPHOSPHATASE-RXN	EC-3.1.3.37
RXN-9244	EC-2.3.1.224
RXN0-5462	EC-3.6.5.1	EC-3.6.5.2	EC-3.6.5.3	EC-3.6.5.4	EC-3.6.5.5	EC-3.6.5.6	EC-3.6.1.15
RXN-8441	EC-3.2.2
RXN-7885	EC-1.14.99
SULFITE-OXIDASE-RXN	EC-1.8.3.1
GLUTATHIONE-PEROXIDASE-RXN	EC-1.11.1.9
ALDOSE-1-EPIMERASE-RXN	EC-5.1.3.3
CYTIKIN-RXN	EC-2.7.1.213
TRIOSEPISOMERIZATION-RXN	EC-5.3.1.1
3.2.1.18-RXN	EC-3.2.1.18
RXN-8850	EC-2.1.1.148
RXN0-5248	
2.4.1.37-RXN	EC-2.4.1.37
RXN-5467	EC-2.4.1.259
RXN0-5259	
RXN-11397	EC-3.6.1
RXN-8667	EC-1.11.1.21
RXN-13657	EC-2.1.1
D-RIBULOKIN-RXN	EC-2.7.1.47
RXNQT-4336	EC-1.14.13.237
DAHPSYN-RXN	EC-2.5.1.54
RXN-18341	
SEDOBISALDOL-RXN	EC-4.1.2
TRYPTOPHAN-2-MONOOXYGENASE-RXN	EC-1.13.12.3
QUINOPRIBOTRANS-RXN	EC-2.4.2.19
RXN66-470	EC-1.14.11
2.7.1.150-RXN	EC-2.7.1.150
GLYCEROL-KIN-RXN	EC-2.7.1.30
RXN-8344	EC-2.7.7.75
2.7.8.11-RXN	EC-2.7.8.11
METHYLCROTONYL-COA-CARBOXYLASE-RXN	EC-6.4.1.4
RXN-7241	EC-3.1.3.26
RXN-14901	EC-3.3.2
TRANS-RXNIO2-5	
RXN-7739	EC-4.99.1.10
RXN-8302	EC-1.14.19.23
RXN-9667	EC-1.14.19.35
2-DEHYDROPANTOATE-REDUCT-RXN	EC-1.1.1.169
PHOSGLYPHOS-RXN	EC-2.7.2.3
RXN-15127	EC-3.5.99.10
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.11
RXN-13681	EC-1.2.3.1
RXN-11451	EC-1.1.99.37
RXN-9634	EC-2.3.1.86	EC-4.2.1.59
ATPPHOSPHORIBOSYLTRANS-RXN	EC-2.4.2.17
PYRUVFORMLY-RXN	EC-2.3.1.54
RXN-924	
THIOL-OXIDASE-RXN	EC-1.8.3.2
SULFATE-ADENYLYLTRANS-RXN	EC-2.7.7.4
2.1.1.139-RXN	EC-2.1.1.139
RXN-18191	
TRANS-RXN0-479	
TROPINESTERASE-RXN	EC-3.1.1.10
RXN66-27	EC-1.3.1.21
2.4.1.117-RXN	EC-2.4.1.117
RXN-10062	EC-1.3.1.9
GLUC1PURIDYLTRANS-RXN	EC-2.7.7.64	EC-2.7.7.9
ABC-64-RXN	EC-3.6.3.36
ALLYL-ALCOHOL-DEHYDROGENASE-RXN	EC-1.1.1.54
RXN-17881	
ICOSANOYL-COA-SYNTHASE-RXN	EC-2.3.1.119
RXN-15776	EC-3.1.1.97
HYPOXANPRIBOSYLTRAN-RXN	EC-2.4.2.8
RXN0-5265	
ENTDB-RXN	EC-2.7.8.7
PHOSPHAGLYPSYN-RXN	EC-2.7.8.5
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN	EC-2.7.1.137
RXN-14399	EC-1.3.7.11
GUANINE-DEAMINASE-RXN	EC-3.5.4.3
OROTPDECARB-RXN	EC-4.1.1.23
UDP-NACMURALGLDAPLIG-RXN	EC-6.3.2.13
RXN-7771	
RXN-5647	EC-3.1.3.75
NADPH-DEHYDROGENASE-RXN	EC-1.6.99.1
ALPHA-AMYL-RXN	EC-3.2.1.1
EXOPOLYPHOSPHATASE-RXN	EC-3.6.1.11
GLUTAMATE-N-ACETYLTRANSFERASE-RXN	EC-2.3.1.35
RXN0-5181	EC-3.2.1.1
DTDPRHAMSYNTHMULTI-RXN	EC-1.1.1
RXN-8190	EC-1.14.99
NAPHTHOATE-SYN-RXN	EC-4.1.3.36
RXN-16909	
RXN-11948	EC-1.14.13
RXNQT-4387	EC-2.7.7.41
DEOXYADENYLATE-KINASE-RXN	EC-2.7.4.13	EC-2.7.4.11
RXN1G-526	EC-1.3.1.9
RXN-14374	
2.7.1.152-RXN	EC-2.7.4.21
RXN0-6490	
RXN-12590	
2.5.1.32-RXN	
2-ISOPROPYLMALATESYN-RXN	EC-2.3.3.13
3.2.1.21-RXN	EC-3.2.1.21
2.7.9.5-RXN	EC-2.7.9.5
RXN-13519	
FERRIC-CHELATE-REDUCTASE-RXN	EC-1.16.1.7
GUANYLCYC-RXN	EC-4.6.1.2
