#
#  chlamycyc 8.0 Pathways link table generated on Fri Jun 29, 2018
#
PWY-4821	UDP-&alpha;-D-xylose biosynthesis	UDP-xylose biosynthesis	UDP-D-xylose biosynthesis
PWY-5859	eugenol and isoeugenol biosynthesis	
PWY-2161	folate polyglutamylation	
PWY-7909	formaldehyde oxidation VII (THF pathway)	
GLUTORN-PWY	L-ornithine biosynthesis I	
PROUT-PWY	L-proline degradation	L-proline utilization	proline utilization
PROSYN-PWY	L-proline biosynthesis I	
PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)	
PWY-5886	4-hydroxyphenylpyruvate biosynthesis	4-hydroxyphenylpyruvic acid biosynthesis
PWY66-420	carnosine biosynthesis	
PWY-5783	octaprenyl diphosphate biosynthesis	
PWY-6758	hydrogen production II	
PWY-5326	sulfite oxidation IV	
PPGPPMET-PWY	ppGpp biosynthesis	guanosine 3'-diphosphate 5'-diphosphate biosynthesis
PWY-7039	phosphatidate metabolism, as a signaling molecule	PA metabolism
PWY-6502	oxidized GTP and dGTP detoxification	8-oxo-(d)GTP detoxification	oxidized guanosine triphosphate and deoxyguanosine triphosphate detoxification	8-oxo-7,8-dihydro-guanosine-triphosphate and 8-oxo-7,8-dihydro-deoxyguanosine-triphosphate
PWY-5115	GDP-L-galactose biosynthesis	
GLUGLNSYN-PWY	L-glutamate biosynthesis IV	L-glutamate biosynthesis from L-glutamine
PWY-6363	D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation	
NAD-BIOSYNTHESIS-III	NAD biosynthesis III	nicotinamide adenine dinucleotide biosynthesis
PWY-6596	adenosine nucleotides degradation I	purine nucleotide catabolism
ALANINE-DEG3-PWY	L-alanine degradation III	
PWY-6823	molybdenum cofactor biosynthesis	moco biosynthesis	molybdopterin biosynthesis
PWY-5194	siroheme biosynthesis	
PWY-5694	allantoin degradation to glyoxylate I	
PWY-5692	allantoin degradation to glyoxylate II	
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	
PWY-6938	NADH repair	
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	protein <i>N</i>-glycosylation initial phase (eukaryotic)	eukaryotic <i>N</i>-linked glycosylation initial steps	dolichyl-diphosphooligosaccharide biosynthesis and attachment	eukaryotic <i>N</i>-linked glycosylation	mannosyl-chito-dolichol biosynthesis	<i>N</i>-linked glycosylation
PENTOSE-P-PWY	pentose phosphate pathway	pentose shunt	hexose monophosphate shunt	phosphogluconate pathway	superpathway of oxidative and non-oxidative branches of pentose phosphate pathway
PWY-5481	pyruvate fermentation to lactate	pyruvic acid fermentation to lactic acid
PWY-6902	chitin degradation II (Vibrio)	
PWY-6370	ascorbate recycling (cytosolic)	vitamin C recycling (cytosolic)
PWYIO2-7	triacylglycerol biosynthesis (Chlamydomonas)	triglyceride biosynthesis	TAG biosynthesis
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	
PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis	
ASPARTATESYN-PWY	L-aspartate biosynthesis	L-aspartate biosynthesis and degradation
PWY-5703	urea degradation I	
PWY1F-353	glycine betaine biosynthesis III (plants)	glycine betaine biosynthesis
PWY-7101	5-deoxystrigol biosynthesis	
PWY-6745	phytochelatins biosynthesis	biosynthesis of heavy metal-binding ligands
HOMOSERSYN-PWY	L-homoserine biosynthesis	
PWY-5121	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	GGPP biosynthesis II (plastidic)
PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis	
PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)	CO<sub>2</sub> fixation into oxaloacetic acid (anaplerotic)
PLPSAL-PWY	pyridoxal 5'-phosphate salvage I	vitamin B<sub>6</sub> salvage I
PWY-3261	UDP-&beta;-L-rhamnose biosynthesis	UDP-L-rhamnose biosynthesis
PWY-5485	pyruvate fermentation to acetate IV	pyruvic acid fermentation to acetic acid IV
PWY0-1021	L-alanine biosynthesis III	
PWY-6619	adenine and adenosine salvage VI	
PWY-4381	fatty acid biosynthesis initiation I	de novo fatty acid biosynthesis, initial reactions
PWY-6908	thiamine diphosphate biosynthesis IV (eukaryotes)	thiamin diphosphate biosynthesis IV (eukaryotes)	vitamin B1 biosynthesis IV (eukaryotes)	thiamine diphosphate biosynthesis (plants)
PWY-7238	sucrose biosynthesis II	sucrose biosynthesis II (from starch degradation intermediates)	sucrose biosynthesis II (plant cytosol)
PWY-4702	phytate degradation I	
PWYIO2-6	phosphatidate metabolism, as a signaling molecule (Chlamydomonas)	
PWY-5138	unsaturated, even numbered fatty acid &beta;-oxidation	fatty acid &beta;-oxidation IV (unsaturated, even number)
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	riboflavin, FMN and FAD biosynthesis	vitamin B<sub>2</sub> biosynthesis
ILEUDEG-PWY	L-isoleucine degradation I	
PWY-5947	lutein biosynthesis	
METHIONINE-DEG1-PWY	L-methionine degradation I (to L-homocysteine)	
PWY-5453	methylglyoxal degradation III	
PWY-6030	serotonin and melatonin biosynthesis	
NONMEVIPP-PWY	methylerythritol phosphate pathway I	nonmevalonate isopentenyl diphosphate biosynthesis	methylerythritol phosphate degradation	MEP degradation	deoxyxylulose phosphate pathway	DOXP pathway	Rohmer pathway	isopentenyl diphosphate biosynthesis -- mevalonate-independent	nonmevalonate isoprenoid pathway	MEP pathway
PWY-6795	diacylglyceryl-<i>N,N,N</i>-trimethylhomoserine biosynthesis	betaine lipid biosynthesis
PWY-7177	UTP and CTP dephosphorylation II	pyrimidine nucleotides dephosphorylation
TRIGLSYN-PWY	diacylglycerol and triacylglycerol biosynthesis	triglyceride biosynthesis	Kennedy pathway	TAG biosynthesis
PWY-3821	D-galactose detoxification	UDP-D-galatose biosynthesis (from D-galactose)
SUCSYN-PWY	sucrose biosynthesis I (from photosynthesis)	sucrose biosynthesis I (from Calvin cycle intermediates)	sucrose biosynthesis I
PWY-7856	heme <i>a</i> biosynthesis	
GLYOXDEG-PWY	glycolate and glyoxylate degradation II	glyoxylate degradation
GLYCLEAV-PWY	glycine cleavage	glycine cleavage system	glycine decarboxylase complex	gcv system	glycine cleavage complex
PWY-4562	lipid-dependent phytate biosynthesis II (via Ins(1,3,4)P<sub>3</sub>)	lipid-dependent phytic acid biosynthesis II (via Ins(1,3,4)P<sub>3</sub>)	lipid-dependent InsP<sub>6</sub> biosynthesis II (via Ins(1,3,4)P<sub>3</sub>)
PWY-5480	pyruvate fermentation to ethanol I	pyruvic acid fermentation to ethanol I
PWY0-1325	superpathway of L-asparagine biosynthesis	
PWY-7436	vitamin E biosynthesis (tocotrienols)	tocotrienol biosynthesis
PWY-7409	phospholipid remodeling (phosphatidylethanolamine, yeast)	
PWY-724	superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	
ASPARAGINE-DEG1-PWY	L-asparagine degradation I	asparagine degradation 1
PWY-5120	geranylgeranyl diphosphate biosynthesis	GGPP biosynthesis
PWY-5670	epoxysqualene biosynthesis	
PWY-7204	pyridoxal 5'-phosphate salvage II (plants)	vitamin B6 salvage (plants)
PWY-7546	diphthamide biosynthesis (eukaryotes)	
PWY-6268	adenosylcobalamin salvage from cobalamin	vitamin B<sub>12</sub> biosynthesis
PWY-6898	thiamine salvage III	thiamin salvage III
PWY-3841	folate transformations II	
PWY-5600	pyruvate fermentation to acetate VII	acetate fermentation	pyruvic acid fermentation to acetic acid VII
KDOSYN-PWY	Kdo transfer to lipid IV<sub>A</sub> I	
VALSYN-PWY	L-valine biosynthesis	
PWY-7060	ornithine-citrulline shuttle	
PWY-7622	UDP-&alpha;-D-galactofuranose biosynthesis	UDP-galactofuranose biosynthesis
PWY-4983	nitric oxide biosynthesis II (mammals)	L-citrulline-NO cycle	L-citrulline-nitric oxide cycle
MALATE-ASPARTATE-SHUTTLE-PWY	L-aspartate degradation II	malate/L-aspartate shuttle pathway	malate/aspartate shuttle pathway
PWY-6698	oxalate degradation V	
PWY-4341	L-glutamate biosynthesis V	
PWY0-1319	CDP-diacylglycerol biosynthesis II	
PWY-5064	chlorophyll <i>a</i> biosynthesis II	
PWY-6520	nonaprenyl diphosphate biosynthesis II	solanesyl diphosphate biosynthesis	solanesyl pyrophosphate biosynthesis
PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	nicotinamide adenine dinucleotide biosynthesis
PWY-6959	L-ascorbate degradation V	
PWY-5083	NAD/NADH phosphorylation and dephosphorylation	
FASYN-ELONG-PWY	fatty acid elongation -- saturated	
LIPAS-PWY	triacylglycerol degradation	triacylglyceride degradation	triacylglycerol hydrolysis	lipolysis
PWY-5122	geranyl diphosphate biosynthesis	GPP biosynthesis
PWY-6475	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	
PWY-5068	chlorophyll cycle	chlorophyll <i>b</i> biosynthesis
PWY-5340	sulfate activation for sulfonation	sulfation pathway
PWY-6498	eumelanin biosynthesis	melanochrome biosynthesis	melanogenesis
PWY-5143	long-chain fatty acid activation	long-chain acyl-CoA synthetase pathway	acyl-CoA synthetase pathway
PWY-6352	3-phosphoinositide biosynthesis	phosphatidylinositol-3,4-bisphosphate biosynthesis	phosphatidylinositol 3-phosphate biosynthesis	phosphatidylinositol-3,4,5-triphosphate biosynthesis
PWY-6327	tetrathionate oxidation	
PWY0-522	lipoate salvage I	
PWY-2161B-PMN	folate polyglutamylation II	
PWY-4661	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis III (<i>Spirodela polyrrhiza</i>)	lipid-independent phytic acid biosynthesis	lipid-independent InsP<sub>6</sub> biosynthesis	lipid-independent phytate biosynthesis	hexakisphosphate biosynthesis (lipid-independent)	phytate biosynthesis
PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA	2-oxoglutarate dehydrogenase complex	2-ketoglutarate dehydrogenase complex
GLUT-REDOX-PWY	glutathione-glutaredoxin redox reactions	
PWY-6482	diphthamide biosynthesis (archaea)	
PWY-5486	pyruvate fermentation to ethanol II	pyruvic acid fermentation to ethanol II
PWY-6773	1,3-&beta;-D-glucan biosynthesis	callose biosynthesis
PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation	
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	light-dependent aerobic 3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I	light-dependent aerobic chlorophyllide <i>a</i> biosynthesis I
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	
PWYQT-4427	sulfoquinovosyl diacylglycerol biosynthesis	SQDG biosynthesis
PWY-6787	flavonoid biosynthesis (in equisetum)	
PWY-7346	UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)	UDP-&alpha;-D-glucuronate biosynthesis	UDP-glucuronic acid biosynthesis (from UDP-glucose)	UDP-GlcA biosynthesis
PWY-5686	UMP biosynthesis I	uridine-5'-phosphate biosynthesis I	<i>de novo</i> biosynthesis of uridine-5'-phosphate I	<i>de novo</i> biosynthesis of uridine-5'-monophosphate I
PWY-4541	lipid-dependent phytate biosynthesis I (via Ins(1,4,5)P<sub>3</sub>)	lipid-dependent phytic acid biosynthesis I (via Ins(1,4,5)P<sub>3</sub>)	lipid-dependent InsP<sub>6</sub> biosynthesis I (via Ins(1,4,5)P<sub>3</sub>)
PWY-7224	purine deoxyribonucleosides salvage	
PWY-7417	phospholipid remodeling (phosphatidate, yeast)	
PWY-1042	glycolysis IV (plant cytosol)	glycolysis 4
PWY-4081	glutathione-peroxide redox reactions	
PWYQT-4445	pyrimidine salvage pathway	
PWY-6483	ceramide degradation	
GLNSYN-PWY	L-glutamine biosynthesis I	L-glutamine - L-glutamate pathway
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	
PWY-6663	plant sterol biosynthesis II	cholesterol biosynthesis IV (plants)
PWY-6606	guanosine nucleotides degradation II	
PWY-5063	phytyl diphosphate biosynthesis	phytyl pyrophosphate biosynthesis	phytyl-PP biosynthesis
PWY-101	photosynthesis light reactions	
PWY0-541	cyclopropane fatty acid (CFA) biosynthesis	
PWY-7205	CMP phosphorylation	
PWY-5659	GDP-mannose biosynthesis	
PWY-6527	stachyose degradation	
PWY0-1264	biotin-carboxyl carrier protein assembly	BCCP assembly
PWY-882	L-ascorbate biosynthesis I (L-galactose pathway)	vitamin C biosynthesis	ascorbic acid biosynthesis	L-ascorbic acid biosynthesis I	Smirnoff-Wheeler pathway
PWY-5995	linoleate biosynthesis I (plants)	
PWY-5381	pyridine nucleotide cycling (plants)	
CYSTSYN-PWY	L-cysteine biosynthesis I	
LIPASYN-PWY	phospholipases	phospholipase pathway
PWY-1822	indole-3-acetate activation I	IAA biosynthesis from amide-conjugates	IAA deconjugation	indole-3-acetic acid biosynthesis from amide-conjugates	IAA activation I	indole-3-acetic acid activation I
DETOX1-PWY-1	reactive oxygen species degradation	removal of superoxide radicals
GLYOXYLATE-BYPASS	glyoxylate cycle	glyoxylate bypass	glyoxylate shunt
PWY-6543	4-aminobenzoate biosynthesis	pABA biosynthesis	plastidial PABA biosynthesis	PABA biosynthesis in plastids	<i>p</i>-aminobenzoate biosynthesis
PWY-5173	superpathway of acetyl-CoA biosynthesis	
PWY-3982	uracil degradation I (reductive)	&beta;-alanine biosynthesis
PWY-1581	plastoquinol-9 biosynthesis I	plastoquinone biosynthesis I	plastoquinone-9 biosynthesis I	plastoquinol biosynthesis I
HOMOSER-THRESYN-PWY	L-threonine biosynthesis	
PWY-46	putrescine biosynthesis III	ODC pathway
PWY-5044	purine nucleotides degradation I (plants)	purine nucleotide catabolism (aerobic)
PWY-2301	<i>myo</i>-inositol biosynthesis	
ALACAT2-PWY	L-alanine degradation II (to D-lactate)	
PWY-622	starch biosynthesis	
PWY-1001	cellulose biosynthesis	
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch) I	
PWY4FS-11	L-ascorbate biosynthesis II (L-gulose pathway)	vitamin C biosynthesis	L-ascorbic acid biosynthesis II
PWY-5464	superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	
PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	HMP-PP biosynthesis
ALANINE-SYN2-PWY	L-alanine biosynthesis II	
PWY-5946	&delta;-carotene biosynthesis	
PANTO-PWY	phosphopantothenate biosynthesis I	vitamin B<sub>5</sub> biosynthesis
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	Embden-Meyerhof pathway	Embden-Meyerhof-Parnas pathway	EMP pathway	glycolysis (plastidic)
PWY-5535	acetate formation from acetyl-CoA II	acetic acid formation from acetyl-CoA II
PWY0-166	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)	
PWY0-1275	lipoate biosynthesis and incorporation II	
PWY-7363	papaverine biosynthesis	
GLYSYN-ALA-PWY	glycine biosynthesis III	
PWY-4984	urea cycle	Krebs ornithine cycle	Krebs-Henseleit cycle
PWY-4041	&gamma;-glutamyl cycle	glutathione metabolism
PWY-6724	starch degradation II	starch mobilization in chloroplast stroma	transitory starch degradation in chloroplast stroma	starch degradation in chloroplast stroma
PWY-3481	superpathway of L-phenylalanine and L-tyrosine biosynthesis	
HEME-BIOSYNTHESIS-II	heme <i>b</i> biosynthesis I (aerobic)	
