Source Name	Comment [ENA_SAMPLE]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [strain/background]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Comment [INSTRUMENT_MODEL]	Comment [LIBRARY_SELECTION]	Comment [LIBRARY_SOURCE]	Comment [LIBRARY_STRATEGY]	Material Type	Assay Name	Comment [ENA_EXPERIMENT]	Comment [Platform_title]	Technology Type	Protocol REF	Term Source REF	Scan Name	Comment [ENA_RUN]	Comment [FASTQ_URI]	FactorValue [STRAIN/BACKGROUND]	FactorValue [TIME]	FactorValue [TREATMENT]
GSM1332650 1	SRS560422	UGTWs6na2HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, sta6 (CC-4348), minus nitrogen, 2h	Chlamydomonas reinhardtii CC-4348 sta6 minus N 2h	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	sta6 (CC-4348)	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332650 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332650	SRX474554	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174404	SRR1174404	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/004/SRR1174404/SRR1174404.fastq.gz	sta6 (CC-4348)	2h	minus nitrogen
GSM1332649 1	SRS560421	UGTWs6na05HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, sta6 (CC-4348), minus nitrogen, 0.5h	Chlamydomonas reinhardtii CC-4348 sta6 minus N 0.5h	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	sta6 (CC-4348)	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332649 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332649	SRX474553	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174403	SRR1174403	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/003/SRR1174403/SRR1174403.fastq.gz	sta6 (CC-4348)	0.5h	minus nitrogen
GSM1332648 1	SRS560420	UGTWs6na0bHS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, sta6 (CC-4348), minus nitrogen, 0h	Chlamydomonas reinhardtii CC-4348 sta6 minus N 0h	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	sta6 (CC-4348)	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332648 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332648	SRX474552	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174402	SRR1174402	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/002/SRR1174402/SRR1174402.fastq.gz	sta6 (CC-4348)	0h	minus nitrogen
GSM1332647 1	SRS560419	UGTWs6Na0aHS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, sta6 (CC-4348), minus nitrogen, pre-wash	Chlamydomonas reinhardtii CC-4348 sta6 minus N 0h pre-wash	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	sta6 (CC-4348)	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332647 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332647	SRX474551	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174401	SRR1174401	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/001/SRR1174401/SRR1174401.fastq.gz	sta6 (CC-4348)	pre-wash	minus nitrogen
GSM1332646 1	SRS560418	UGTWcwnA48HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, CC-4349, 48 h minus nitrogen, 48h after acetate boost	Chlamydomonas reinhardtii CC-4349 48h minus N, 48h + acetate	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	CC-4349	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332646 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332646	SRX474550	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174400	SRR1174400	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/000/SRR1174400/SRR1174400.fastq.gz	CC-4349	48h after acetate boost	48 h minus nitrogen, then acetate boost
GSM1332645 1	SRS560417	UGTWcwnA24HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, CC-4349, 48 h minus nitrogen, 24h after acetate boost	Chlamydomonas reinhardtii CC-4349 48h minus N, 24h + acetate	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	CC-4349	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332645 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332645	SRX474549	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174399	SRR1174399	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/009/SRR1174399/SRR1174399.fastq.gz	CC-4349	24h after acetate boost	48 h minus nitrogen, then acetate boost
GSM1332644 1	SRS560416	UGTWcwnA12HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, CC-4349, 48 h minus nitrogen, 12h after acetate boost	Chlamydomonas reinhardtii CC-4349 48h minus N, 12h + acetate	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	CC-4349	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332644 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332644	SRX474548	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174398	SRR1174398	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/008/SRR1174398/SRR1174398.fastq.gz	CC-4349	12h after acetate boost	48 h minus nitrogen, then acetate boost
GSM1332643 1	SRS560415	UGTWcwnA8HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, CC-4349, 48 h minus nitrogen, 8h after acetate boost	Chlamydomonas reinhardtii CC-4349 48h minus N, 8h + acetate	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	CC-4349	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332643 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332643	SRX474547	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174397	SRR1174397	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/007/SRR1174397/SRR1174397.fastq.gz	CC-4349	8h after acetate boost	48 h minus nitrogen, then acetate boost
GSM1332642 1	SRS560414	UGTWcwnA4HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, CC-4349, 48 h minus nitrogen, 4h after acetate boost	Chlamydomonas reinhardtii CC-4349 48h minus N, 4h + acetate	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	CC-4349	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332642 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332642	SRX474546	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174396	SRR1174396	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/006/SRR1174396/SRR1174396.fastq.gz	CC-4349	4h after acetate boost	48 h minus nitrogen, then acetate boost
GSM1332641 1	SRS560413	UGTWcwnA2HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, CC-4349, 48 h minus nitrogen, 2h after acetate boost	Chlamydomonas reinhardtii CC-4349 48h minus N, 2h + acetate	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	CC-4349	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332641 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332641	SRX474545	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174395	SRR1174395	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/005/SRR1174395/SRR1174395.fastq.gz	CC-4349	2h after acetate boost	48 h minus nitrogen, then acetate boost
GSM1332640 1	SRS560412	UGTWcwnA05HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, CC-4349, 48 h minus nitrogen, 0.5h after acetate boost	Chlamydomonas reinhardtii CC-4349 48h minus N, 0.5h + acetate	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	CC-4349	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332640 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332640	SRX474544	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174394	SRR1174394	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/004/SRR1174394/SRR1174394.fastq.gz	CC-4349	0.5h after acetate boost	48 h minus nitrogen, then acetate boost
GSM1332639 1	SRS560411	UGTWcwnA0bHS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, CC-4349, 48 h minus nitrogen, 0h after acetate boost	Chlamydomonas reinhardtii CC-4349 48h minus N, 0h + acetate	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	CC-4349	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332639 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332639	SRX474543	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174393	SRR1174393	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/003/SRR1174393/SRR1174393.fastq.gz	CC-4349	0h after acetate boost	48 h minus nitrogen, then acetate boost
GSM1332638 1	SRS560410	UGTWcwna48HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, CC-4349, minus nitrogen, 48h	Chlamydomonas reinhardtii CC-4349 minus N 48h	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	CC-4349	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332638 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332638	SRX474542	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174392	SRR1174392	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/002/SRR1174392/SRR1174392.fastq.gz	CC-4349	48h	minus nitrogen
GSM1332637 1	SRS560409	UGTWcwna24HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, CC-4349, minus nitrogen, 24h	Chlamydomonas reinhardtii CC-4349 minus N 24h	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	CC-4349	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332637 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332637	SRX474541	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174391	SRR1174391	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/001/SRR1174391/SRR1174391.fastq.gz	CC-4349	24h	minus nitrogen
GSM1332636 1	SRS560408	UGTWcwna12HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, CC-4349, minus nitrogen, 12h	Chlamydomonas reinhardtii CC-4349 minus N 12h	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	CC-4349	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332636 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332636	SRX474540	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174390	SRR1174390	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/000/SRR1174390/SRR1174390.fastq.gz	CC-4349	12h	minus nitrogen
GSM1332635 1	SRS560407	UGTWcwna8HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, CC-4349, minus nitrogen, 8h	Chlamydomonas reinhardtii CC-4349 minus N 8h	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	CC-4349	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332635 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332635	SRX474539	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174389	SRR1174389	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/009/SRR1174389/SRR1174389.fastq.gz	CC-4349	8h	minus nitrogen
