Pathway Name | Pathway Frame-id | Pathway Class | Pathway Class Frame-id | Pathway Frequency Score | Pathway Score | Pathway URL
antheraxanthin and violaxanthin biosynthesis|PWY-5945|||0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5945
arginine biosynthesis II (acetyl cycle)|ARGSYNBSUB-PWY|Arginine Biosynthesis|ARGININE-SYN|1.2222222|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=ARGSYNBSUB-PWY
arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)|ARGDEG-III-PWY|Arginine Degradation|ARGININE-DEG|1.6666666|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=ARGDEG-III-PWY
arginine degradation X (arginine monooxygenase pathway)|ARGDEG-V-PWY|Arginine Degradation|ARGININE-DEG|0.33333334|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=ARGDEG-V-PWY
arginine dependent acid resistance|PWY0-1299|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1299
ascorbate biosynthesis I (L-galactose pathway)|PWY-882|Ascorbate Biosynthesis|Ascorbate-Biosynthesis|0.625|0.625|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-882
ascorbate glutathione cycle|PWY-2261|||0.75|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-2261
asparagine biosynthesis I|ASPARAGINE-BIOSYNTHESIS|Asparagine Biosynthesis|ASPARAGINE-SYN|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=ASPARAGINE-BIOSYNTHESIS
asparagine degradation I|ASPARAGINE-DEG1-PWY|Asparagine Degradation|ASPARAGINE-DEG|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=ASPARAGINE-DEG1-PWY
aspartate biosynthesis|ASPARTATESYN-PWY|Aspartate Biosynthesis|ASPARTATE-SYN|3.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=ASPARTATESYN-PWY
aspartate degradation II|MALATE-ASPARTATE-SHUTTLE-PWY|Aspartate Degradation|ASPARTATE-DEG|3.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=MALATE-ASPARTATE-SHUTTLE-PWY
betanidin degradation|PWY-5461|||2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5461
biotin biosynthesis from 7-keto-8-aminopelargonate|PWY0-1507|Biotin Biosynthesis|BIOTIN-SYN|0.33333334|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1507
biotin-carboxyl carrier protein assembly|PWY0-1264|||1.25|0.75|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1264
branched-chain alpha-keto acid dehydrogenase complex|PWY-5046|||1.3333334|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5046
capsanthin and capsorubin biosynthesis|PWY-5174|||1.6666666|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5174
cardiolipin biosynthesis II|PWY-5269|Cardiolipin Biosynthesis|Cardiolipin-Biosynthesis|0.6666667|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5269
cellulose biosynthesis|PWY-1001|||1.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-1001
ceramide degradation|PWY-6483|||0.33333334|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6483
chlorogenic acid biosynthesis I|PWY-6039|||0.14285715|0.14285715|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6039
chlorophyll a biosynthesis I|PWY-5086|Chlorophyll a-Biosynthesis|Chlorophyll-a-Biosynthesis|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5086
chlorophyll a degradation|PWY-5098|||1.2|0.2|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5098
chlorophyllide a biosynthesis I|CHLOROPHYLL-SYN|Chlorophyllide a Biosynthesis|Chlorophyllide-a-Biosynthesis|1.6|0.8|http://biocyc.org/META/new-image?type=PATHWAY&object=CHLOROPHYLL-SYN
choline degradation I|CHOLINE-BETAINE-ANA-PWY|Choline Degradation|Choline-Degradation|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=CHOLINE-BETAINE-ANA-PWY
chorismate biosynthesis I|ARO-PWY|Chorismate Biosynthesis|Chorismate-Biosynthesis|0.875|0.875|http://biocyc.org/META/new-image?type=PATHWAY&object=ARO-PWY
citrulline degradation|CITRULLINE-DEG-PWY|||0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=CITRULLINE-DEG-PWY
citrulline-nitric oxide cycle|PWY-4983|Arginine Degradation|ARGININE-DEG|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4983
coenzyme A biosynthesis|COA-PWY|Coenzyme A Biosynthesis|CoA-Biosynthesis|1.25|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=COA-PWY
copper transport II|PWY-6137|||4.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6137
crepenynic acid biosynthesis|PWY-6013|||2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6013
cyclopropane fatty acid (CFA) biosynthesis|PWY0-541|Cyclopropane Fatty Acids Biosynthesis|Cyclopropane-fatty-acid-biosyn|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-541
cysteine biosynthesis I|CYSTSYN-PWY|Cysteine Biosynthesis|CYSTEINE-SYN|3.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=CYSTSYN-PWY
di-trans,poly-cis-undecaprenyl phosphate biosynthesis|PWY-5785|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5785
dimethylsulfoniopropionate biosynthesis I (Wollastonia)|PWY-6054|Dimethylsulfoniopropionate Biosynthesis|Dimethylsulfoniopropionate-Biosynthesis|1.0|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6054
dimethylsulfoniopropionate biosynthesis II (Spartina)|PWY-6055|Dimethylsulfoniopropionate Biosynthesis|Dimethylsulfoniopropionate-Biosynthesis|0.75|0.25|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6055
diphthamide biosynthesis|PWY-6482|||0.6|0.6|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6482
divinyl ether biosynthesis II|PWY-5409|Divinyl Ether Biosynthesis|Divinyl-Ether-Biosynthesis|0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5409
dolichyl-diphosphooligosaccharide biosynthesis|MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS|||0.33333334|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS
epoxysqualene biosynthesis|PWY-5670|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5670
ethanol degradation IV (peroxisomal)|PWY66-162|Ethanol Degradation|Ethanol-Degradation|3.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY66-162
eumelanin biosynthesis|PWY-6498|||0.16666667|0.16666667|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6498
fatty acid beta-oxidation II (core pathway)|PWY-5136|Fatty Acids Degradation|Fatty-Acid-Degradation|2.4|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5136
fatty acid beta-oxidation III (unsaturated, odd number)|PWY-5137|Fatty Acids Degradation|Fatty-Acid-Degradation|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5137
fatty acid beta-oxidation IV (unsaturated, even number)|PWY-5138|Fatty Acids Degradation|Fatty-Acid-Degradation|0.8333333|0.8333333|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5138
fatty acid activation|PWY-5143|||4.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5143
fatty acid biosynthesis initiation I|PWY-4381|Fatty Acid Biosynthesis|Fatty-acid-biosynthesis|2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4381
fatty acid elongation -- saturated|FASYN-ELONG-PWY|Fatty Acid Biosynthesis|Fatty-acid-biosynthesis|1.4|0.6|http://biocyc.org/META/new-image?type=PATHWAY&object=FASYN-ELONG-PWY
flavin biosynthesis I (bacteria and plants)|RIBOSYN2-PWY|Flavin Biosynthesis|Flavin-Biosynthesis|1.3333334|0.7777778|http://biocyc.org/META/new-image?type=PATHWAY&object=RIBOSYN2-PWY
folate polyglutamylation|PWY-2161|Folate Biosynthesis|Folate-Biosynthesis|1.2|0.6|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-2161
folate transformations I|PWY-2201|Folate Biosynthesis|Folate-Biosynthesis|1.1666666|0.5833333|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-2201
formaldehyde oxidation V (tetrahydrofolate pathway)|PWY-1722|Formaldehyde Oxidation|Formaldehyde-Oxidation|1.75|0.75|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-1722
geraniol and geranial biosynthesis|PWY-5829|||0.33333334|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5829
geranyl diphosphate biosynthesis|PWY-5122|||2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5122
geranylgeranyldiphosphate biosynthesis|PWY-5120|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5120
gluconeogenesis I|GLUCONEO-PWY|Gluconeogenesis|Gluconeogenesis|2.5384614|0.84615386|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUCONEO-PWY
glucose and glucose-1-phosphate degradation|GLUCOSE1PMETAB-PWY|||0.5|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUCOSE1PMETAB-PWY
glutamate biosynthesis II|GLUTAMATE-SYN2-PWY|Glutamate Biosynthesis|GLUTAMATE-SYN|2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTAMATE-SYN2-PWY
glutamate biosynthesis IV|GLUGLNSYN-PWY|Glutamate Biosynthesis|GLUTAMATE-SYN|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUGLNSYN-PWY
glutamate biosynthesis V|PWY-4341|Glutamate Biosynthesis|GLUTAMATE-SYN|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4341
glutamate degradation X|PWY-5766|Glutamate Degradation|GLUTAMATE-DEG|2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5766
glutamate removal from folates|PWY-2161B|Folate Biosynthesis|Folate-Biosynthesis|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-2161B
glutamine biosynthesis III|PWY-6549|Glutamine Biosynthesis|GLUTAMINE-SYN|2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6549
glutathione biosynthesis|GLUTATHIONESYN-PWY|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTATHIONESYN-PWY
glutathione redox reactions I|PWY-4081|||1.6666666|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4081
glutathione redox reactions II|GLUT-REDOX-PWY|||1.0|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUT-REDOX-PWY
glycerol degradation IV|PWY-4261|Glycerol Degradation|GLYCEROL-DEG|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4261
glycerol-3-phosphate shuttle|PWY-6118|||2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6118
glycine betaine biosynthesis I (Gram-negative bacteria)|BETSYN-PWY|Betaine Biosynthesis|Betaine-Biosynthesis|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=BETSYN-PWY
glycine betaine biosynthesis II (Gram-positive bacteria)|PWY-3722|Betaine Biosynthesis|Betaine-Biosynthesis|3.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3722
glycine biosynthesis I|GLYSYN-PWY|Glycine Biosynthesis|GLYCINE-SYN|3.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYSYN-PWY
glycine biosynthesis III|GLYSYN-ALA-PWY|Glycine Biosynthesis|GLYCINE-SYN|4.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYSYN-ALA-PWY
glycine biosynthesis IV|GLYSYN-THR-PWY|Glycine Biosynthesis|GLYCINE-SYN|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYSYN-THR-PWY
glycine cleavage complex|GLYCLEAV-PWY|Glycine Degradation|GLYCINE-DEG|1.3333334|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYCLEAV-PWY
glycogen biosynthesis I (from ADP-D-Glucose)|GLYCOGENSYNTH-PWY|Glucogen and Starch Biosynthesis|GLYCOGEN-BIOSYN|4.6666665|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYCOGENSYNTH-PWY
glycolysis I|GLYCOLYSIS|Glycolysis|GLYCOLYSIS-VARIANTS|2.7272727|0.90909094|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYCOLYSIS
glycolysis III|ANAGLYCOLYSIS-PWY|Glycolysis|GLYCOLYSIS-VARIANTS|2.8|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=ANAGLYCOLYSIS-PWY
glycolysis IV (plant cytosol)|PWY-1042|Glycolysis|GLYCOLYSIS-VARIANTS|2.6|0.9|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-1042
glyoxylate cycle|GLYOXYLATE-BYPASS|TCA cycle|TCA-VARIANTS|1.6666666|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYOXYLATE-BYPASS
guanine and guanosine salvage II|PWY-6599|Guanine and Guanosine Salvage|Guanine-Guanosine-Salvage|1.0|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6599
heme biosynthesis from uroporphyrinogen-III I|HEME-BIOSYNTHESIS-II|Heme Biosynthesis|HEME-SYN|1.75|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=HEME-BIOSYNTHESIS-II
heptaprenyl diphosphate biosynthesis|PWY-5807|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5807
histamine biosynthesis|PWY-6173|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6173
histidine biosynthesis|HISTSYN-PWY|Histidine Biosynthesis|HISTIDINE-SYN|1.1|0.8|http://biocyc.org/META/new-image?type=PATHWAY&object=HISTSYN-PWY
homocysteine and cysteine interconversion|PWY-801|Cysteine Biosynthesis|CYSTEINE-SYN|0.25|0.25|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-801
homoserine biosynthesis|HOMOSERSYN-PWY|||2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=HOMOSERSYN-PWY
hypusine biosynthesis|PWY-5905|||1.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5905
inosine-5'-phosphate biosynthesis II|PWY-6124|Inosine-5'-phosphate Biosynthesis|IMP-Biosynthesis|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6124
inositol pyrophosphates biosynthesis|PWY-6369|||2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6369
isoleucine biosynthesis I (from threonine)|ILEUSYN-PWY|Isoleucine Biosynthesis|ISOLEUCINE-SYN|1.4|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=ILEUSYN-PWY
isoleucine degradation I|ILEUDEG-PWY|Isoleucine Degradation|ISOLEUCINE-DEG|0.6666667|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=ILEUDEG-PWY
jasmonic acid biosynthesis|PWY-735|Jasmonates Biosynthesis|Jasmonates-Biosynthesis|1.4736842|0.7368421|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-735
lactose degradation III|BGALACT-PWY|Lactose Degradation|LACTOSE-DEG|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=BGALACT-PWY
leucine biosynthesis|LEUSYN-PWY|Leucine Biosynthesis|LEUCINE-SYN|1.3333334|0.8333333|http://biocyc.org/META/new-image?type=PATHWAY&object=LEUSYN-PWY
leucine degradation I|LEU-DEG2-PWY|Leucine Degradation|LEUCINE-DEG|1.1666666|0.8333333|http://biocyc.org/META/new-image?type=PATHWAY&object=LEU-DEG2-PWY
leucine degradation III|PWY-5076|Leucine Degradation|LEUCINE-DEG|2.6666667|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5076
linoleate biosynthesis I (plants)|PWY-5995|Linoleate Biosynthesis|Linoleate-Biosynthesis|1.3333334|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5995
lipoate biosynthesis and incorporation I|PWY0-501|Lipoate Biosynthesis|Lipoate-Biosynthesis|2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-501
lysine biosynthesis VI|PWY-5097|Lysine Biosynthesis|LYSINE-SYN|1.5714285|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5097
