This report was generated on 03-Jan-2020  11:46:26.

* = already updated

Compounds


132 Compounds have structure differences between ChlamyCyc and MetaCyc.
 	ID	Name	Slot	ChlamyCyc Value	MetaCyc Value	
			INCHI	InChI=1S/C21H24N2O3/c1-10-13(9-24)12-7-16-19-21(14-5-3-4-6-15(14)22-19)8-17(23(10)16)18(12)20(21)26-11(2)25/h3-6,10,12-13,16-18,20,24H,7-9H2,1-2H3/t10-,12?,13-,16-,17-,18?,20?,21+/m0/s1	InChI=1S/C21H24N2O3/c1-10-13(9-24)12-7-16-19-21(14-5-3-4-6-15(14)22-19)8-17(23(10)16)18(12)20(21)26-11(2)25/h3-6,10,12-13,16-18,20,24H,7-9H2,1-2H3/t10-,12+,13-,16-,17-,18?,20+,21?/m0/s1	
			DISPLAY-COORDS-2D	((161560 79330) (-229040 -77400) (-415250 -510) (-415120 81990) (-343870 -41880) (-343610 123130) (-57840 205170) (-58100 -42330) (156510 163920) (84990 122550) (-158710 -120520) (13610 160790) (85060 205170) (-272360 -740) (-272230 81760) (-57840 122670) (16540 -4320) (-23850 50440) (-129350 81530) (-83720 51510) (-129480 -970) (-200730 122900) (13550 81300) (214830 222250) (-160890 -202990) (-86200 -81160))	((5281 4039) (1467 1238) (495 2090) (0 2760) (1308 2188) (331 3510) (3130 5268) (3150 2801) (5282 5690) (4567 4452) (2182 825) (3836 5690) (4567 5277) (1647 2943) (1153 3612) (3139 4443) (3853 3210) (4567 2797) (2428 4029) (2896 2062) (2428 3199) (1633 4282) (3853 4040) (5996 5277) (2182 0) (2896 1238) (2424 4855) (3138 3622) (3836 6515) (4567 6102))	
			STRUCTURE-BONDS	((11 2 1) (11 25 2) (26 11 1) (21 8 1) (20 26 1) (10 1 1 :UP) (10 13 1) (12 13 1) (7 12 1) (16 7 1 :UP) (23 10 1) (17 18 1 :UP) (20 18 1) (21 20 1 :UP) (23 17 1) (16 23 1) (8 17 1) (19 21 1) (19 16 1) (22 19 2) (22 15 1) (14 15 1) (21 14 1) (15 6 2) (6 4 1) (4 3 2) (5 14 2) (3 5 1) (12 18 1) (13 9 1 :DOWN) (9 24 1))	((23 17 1) (8 17 1) (21 8 1) (19 16 1) (19 21 1) (16 23 1) (12 7 1) (7 16 1) (21 20 1) (14 21 1) (22 19 2) (15 22 1) (6 4 1) (4 3 2) (5 3 1) (5 14 2) (15 6 2) (14 15 1) (17 18 1) (12 18 1) (20 18 1) (16 27 1 :DOWN) (17 28 1 :DOWN) (11 2 1) (11 25 2) (20 26 1 :DOWN) (26 11 1) (23 10 1) (10 13 1) (12 13 1) (13 9 1) (12 29 1 :DOWN) (10 1 1 :UP) (13 30 1 :UP) (9 24 1))	
			STRUCTURE-ATOMS	("C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "N" "N" "O" "O" "O")	("C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "N" "N" "O" "O" "O" "H" "H" "H" "H")	
	CPD0-1094	8-oxo-dADP	INCHI-KEY	InChIKey=PCWQUKMTMIZTQK-KVQBGUIXSA-K	InChIKey=FEPFWQCDWZFLGY-KVQBGUIXSA-K	
			INCHI	InChI=1S/C10H14N4O11P2/c15-4-1-6(14-8-7(13-10(14)17)9(16)12-3-11-8)24-5(4)2-23-27(21,22)25-26(18,19)20/h3-6,15H,1-2H2,(H,13,17)(H,21,22)(H,11,12,16)(H2,18,19,20)/p-3/t4-,5+,6+/m0/s1	InChI=1S/C10H15N5O10P2/c11-8-7-9(13-3-12-8)15(10(17)14-7)6-1-4(16)5(24-6)2-23-27(21,22)25-26(18,19)20/h3-6,16H,1-2H2,(H,14,17)(H,21,22)(H2,11,12,13)(H2,18,19,20)/p-3/t4-,5+,6+/m0/s1	
			MOLECULAR-WEIGHT	425.165	424.18	
			DISPLAY-COORDS-2D	((8608 -1989) (6751 -3032) (7284 -4380) (7781 -1989) (7532 -2775) (8860 -2775) (8716 -5211) (8716 -4380) (7995 -5622) (9988 -4791) (7995 -3961) (7284 -5211) (9506 -5467) (9504 -4132) (7296 -1326) (7992 -6447) (10813 -4791) (3674 -1666) (3674 -3309) (2855 -2485) (5318 -1666) (5316 -3309) (6140 -2486) (8191 -3253) (4496 -2487) (3674 -2487) (5318 -2487))	((5753 4458) (3896 3415) (4429 2067) (4926 4458) (4677 3672) (6005 3672) (5861 1236) (5140 825) (5861 2067) (7133 1656) (5137 0) (4429 1236) (5140 2486) (6651 980) (6649 2315) (4441 5121) (7958 1656) (819 4781) (819 3138) (0 3962) (2463 4781) (2461 3138) (3285 3961) (5336 3194) (1641 3960) (819 3960) (2463 3960))	
			STRUCTURE-BONDS	((16 9 2) (21 27 2) (18 26 2) (4 15 1 :DOWN) (22 27 1) (19 26 1) (13 10 1) (10 14 1) (2 23 1) (5 2 1 :UP) (7 13 1) (3 11 2) (11 8 1) (23 27 1) (24 5 1) (24 6 1) (20 26 1) (25 27 1) (25 26 1) (12 3 1) (7 9 1) (9 12 1) (8 7 2) (14 8 1) (5 4 1) (4 1 1) (1 6 1) (6 14 1 :UP) (10 17 2))	((11 8 1) (21 27 2) (18 26 2) (4 16 1 :DOWN) (22 27 1) (19 26 1) (14 10 1) (10 15 1) (2 23 1) (5 2 1 :UP) (7 14 1) (3 13 2) (13 9 1) (23 27 1) (24 5 1) (24 6 1) (20 26 1) (25 27 1) (25 26 1) (12 3 1) (7 8 1) (8 12 2) (9 7 2) (15 9 1) (5 4 1) (4 1 1) (1 6 1) (6 15 1 :UP) (10 17 2))	
			STRUCTURE-ATOMS	("C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "N" "N" "N" "N" "O" "O" "O" "O" "O" "O" "O" "O" "O" "O" "O" "P" "P")	("C" "C" "C" "C" "C" "C" "C" "C" "C" "C" "N" "N" "N" "N" "N" "O" "O" "O" "O" "O" "O" "O" "O" "O" "O" "P" "P")	
	PHENYLACETATE	phenylacetate	NON-STANDARD-INCHI	InChI=1S/C8H8O2/c9-8(10)6-7-4-2-1-3-5-7/h1-5H,6H2,(H,9,10)/p-1	STANDARD-INCHI	
			DISPLAY-COORDS-2D	((6440 18558) (13577 14435) (-709 14440) (13581 6185) (-704 6190) (6432 -6190) (6432 2068) (-718 -10308) (-716 -18549) (-7870 -6179))	((1429 3713) (715 3300) (2144 3300) (715 2475) (2144 2475) (1429 1238) (1429 2062) (714 825) (714 0) (0 1238))	
			STRUCTURE-BONDS	((2 4 1) (4 7 2) (7 6 1) (5 7 1) (3 5 2) (1 3 1) (1 2 2) (9 8 2) (10 8 1) (6 8 1))	((7 4 1) (4 2 2) (2 1 1) (1 3 2) (3 5 1) (7 5 2) (7 6 1) (6 8 1) (8 9 2) (8 10 1))	
	CPD-578	urea-1-carboxylate	DISPLAY-COORDS-2D	((714 -500) (1429 -1737) (0 -912) (1429 -912) (714 325) (713 -2147) (2145 -2147))	((2142400 825600) (713000 825100) (2856400 1237600) (1427500 1237600) (2142400 600) (0 1240100) (716000 0))	
	BUTYRYL-COA	butanoyl-CoA	NON-STANDARD-INCHI	InChI=1S/C25H42N7O17P3S/c1-4-5-16(34)53-9-8-27-15(33)6-7-28-23(37)20(36)25(2,3)11-46-52(43,44)49-51(41,42)45-10-14-19(48-50(38,39)40)18(35)24(47-14)32-13-31-17-21(26)29-12-30-22(17)32/h12-14,18-20,24,35-36H,4-11H2,1-3H3,(H,27,33)(H,28,37)(H,41,42)(H,43,44)(H2,26,29,30)(H2,38,39,40)/p-4/t14-,18?,19?,20-,24-/m0/s1	STANDARD-INCHI	
			INCHI-KEY	InChIKey=CRFNGMNYKDXRTN-HDRJHVAISA-J	InChIKey=CRFNGMNYKDXRTN-CITAKDKDSA-J	
			INCHI	InChI=1S/C25H42N7O17P3S/c1-4-5-16(34)53-9-8-27-15(33)6-7-28-23(37)20(36)25(2,3)11-46-52(43,44)49-51(41,42)45-10-14-19(48-50(38,39)40)18(35)24(47-14)32-13-31-17-21(26)29-12-30-22(17)32/h12-14,18-20,24,35-36H,4-11H2,1-3H3,(H,27,33)(H,28,37)(H,41,42)(H,43,44)(H2,26,29,30)(H2,38,39,40)/p-4/t14-,18?,19?,20-,24-/m0/s1	InChI=1S/C25H42N7O17P3S/c1-4-5-16(34)53-9-8-27-15(33)6-7-28-23(37)20(36)25(2,3)11-46-52(43,44)49-51(41,42)45-10-14-19(48-50(38,39)40)18(35)24(47-14)32-13-31-17-21(26)29-12-30-22(17)32/h12-14,18-20,24,35-36H,4-11H2,1-3H3,(H,27,33)(H,28,37)(H,41,42)(H,43,44)(H2,26,29,30)(H2,38,39,40)/p-4/t14-,18-,19-,20+,24-/m1/s1	
			DISPLAY-COORDS-2D	((1268 -1015) (1298 -325) (1380 -468) (1196 -1057) (1125 -1015) (1125 -685) (1196 -644) (1053 -892) (982 -933) (1745 -605) (1411 -355) (1660 -1068) (1516 -836) (1727 -685) (1125 -768) (1053 -1057) (1528 -969) (1739 -818) (1781 -747) (1268 -438) (1518 -1051) (1604 -936) (1268 -520) (1658 -800) (1339 -397) (1442 -1083) (1053 -809) (1196 -562) (1584 -1100) (1670 -986) (1473 -907) (1596 -854) (1196 -809) (1053 -1139) (1771 -894) (1196 -397) (1339 -562) (1976 -710) (1893 -853) (2006 -823) (1655 -428) (1647 -592) (1457 -470) (1604 -395) (1739 -513) (1493 -359) (1651 -718) (1863 -740) (1568 -506) (1934 -782) (1651 -510) (1531 -433) (982 -1015))	((1134720 124690) (93070 52140) (175360 195160) (1062710 82680) (991700 124690) (491510 82920) (420010 124060) (705790 124480) (777300 83330) (110940 579340) (62710 164800) (554230 737530) (425770 496670) (189730 603790) (562900 124270) (919700 82680) (534800 573690) (298760 680790) (216270 681890) (205720 82500) (610610 606240) (468710 623060) (277110 123860) (323210 602010) (134220 123650) (676700 556860) (634410 83130) (348620 82710) (620320 688150) (478430 704980) (508260 495570) (401320 575470) (562780 206770) (919700 680) (348140 746880) (205840 0) (276990 206360) (86450 832050) (251450 831500) (169220 914280) (2840 412420) (149460 488110) (138860 262970) (0 352100) (34400 527470) (24870 238100) (255820 554410) (168670 749280) (113990 376960) (168950 831780) (76150 450270) (69430 307530) (848690 124690))	
			STRUCTURE-BONDS	((5 16 1) (4 5 1) (16 53 1) (34 16 2) (1 4 1) (9 53 1) (24 32 1 :DOWN) (24 18 1) (41 51 1) (18 35 1) (43 52 1) (32 13 1) (12 30 2) (45 10 1) (31 17 1) (28 23 1) (38 50 1) (49 51 1) (19 18 1) (25 11 1) (30 22 1) (22 32 1) (51 45 1) (29 12 1) (47 24 1) (39 50 2) (40 50 1) (11 46 1) (13 31 2) (48 50 1) (19 48 1) (14 10 1 :DOWN) (52 49 1) (14 47 1) (14 19 1) (46 52 1) (17 22 2) (21 29 2) (44 52 2) (42 51 2) (26 21 1) (17 21 1) (23 20 1) (20 25 1) (37 23 2) (20 36 1 :UP) (25 2 1) (25 3 1) (28 7 1) (7 6 1) (6 15 1) (15 27 1) (27 8 1) (8 9 1) (15 33 2))	((5 16 1) (4 5 1) (16 53 1) (34 16 2) (1 4 1) (24 32 1 :UP) (24 18 1) (47 24 1) (41 51 1) (18 35 1 :DOWN) (43 52 1) (32 13 1) (22 32 1) (12 30 2) (30 22 1) (45 10 1) (51 45 1) (31 17 1) (13 31 2) (28 23 1) (28 7 1) (38 50 1) (49 51 1) (52 49 1) (19 18 1) (19 48 1 :DOWN) (14 19 1) (25 11 1) (20 25 1) (25 2 1) (25 3 1) (17 22 2) (42 51 2) (29 12 1) (14 47 1) (39 50 2) (40 50 1) (11 46 1) (48 50 1) (14 10 1 :UP) (46 52 1) (44 52 2) (17 21 1) (21 29 2) (26 21 1) (23 20 1) (37 23 2) (20 36 1 :UP) (7 6 1) (6 15 1) (15 27 1) (15 33 2) (27 8 1) (8 9 1) (9 53 1))	
	CPD-7695	<i>ditrans,octacis</i>-undecaprenyldiphospho-<i>N</i>-acetyl-(<i>N</i>-acetyl-&beta;-D-glucosaminyl)muramoyl-L-alanyl-&gamma;-D-glutamyl-L-lysyl-D-alanyl-D-alanine	ATOM-CHARGES	((121 -1) (119 -1) (116 -1) (115 -1) (95 1))	((120 -1) (119 -1) (116 -1) (115 -1) (95 1))	
			DISPLAY-COORDS-2D	((-158022 106147) (-150759 93924) (-121743 93874) (-92756 93864) (-63831 93894) (-43297 105957) (-22772 118019) (-2278 130132) (18257 142195) (38742 154267) (59276 166330) (79810 178433) (270238 219530) (191561 198805) (291869 198905) (170131 219530) (184323 244280) (141457 186530) (255951 194680) (255951 186530) (-136197 102026) (-107210 101976) (-78183 101966) (-56558 114258) (-36075 126322) (-15540 138384) (4995 150446) (25479 162560) (46013 174622) (66547 186694) (-143528 106147) (-128955 106107) (-114471 106107) (-99969 106087) (-85485 106087) (-71022 106107) (-56558 106107) (-50528 118169) (-36075 118169) (-29994 130242) (-15540 130242) (-9459 142345) (4995 142345) (11066 154407) (25479 154407) (31560 166480) (46013 166480) (52095 178543) (66547 178543) (72579 190656) (248808 198905) (220235 207155) (227277 211280) (87031 190656) (263095 182405) (87031 198758) (148599 248405) (148701 231905) (-150759 102066) (-121743 102026) (-92756 101976) (-63831 102046) (-43297 114118) (-22772 126182) (-2278 138244) (18257 150306) (38742 162420) (59276 174482) (79810 186554) (270238 211280) (191561 207155) (291768 207155) (170131 211280) (184323 236030) (141457 194680) (248808 207155) (213091 211280) (155744 244280) (148701 223655) (234521 207155) (170033 236030) (148701 207155) (162889 248405) (170034 244280) (155744 219530) (155744 211280) (277482 207155) (198704 211280) (177174 207155) (255951 211280) (298912 211280) (213091 219530) (162889 231905) (141457 211280) (263095 174055) (184418 211280) (263195 207155) (284625 211280) (177178 231905) (148701 198805) (241665 211280) (205848 207155) (148599 256655) (141457 236131) (191468 231905) (134314 198805) (234521 198905) (162889 256655) (177178 248405) (277482 198905) (198704 219530) (177174 198805) (255951 219530) (298912 219530) (306055 207155) (205848 223655) (220235 223655) (109530 215310) (109593 198812) (126031 215373) (126093 198875) (101313 207029) (162887 207155) (155744 236030) (141457 219530) (162889 223655) (134314 207155) (117812 207092) (109562 207060) (126062 207124))	((0 1228300) (726300 6000) (3627900 999) (6526600 0) (9419100 2999) (11472500 1209300) (13525001 2415500) (15574400 3626800) (17627902 4833100) (19676402 6040300) (21729802 7246599) (23783200 8456900) (42826000 12566599) (34958296 10494101) (44989096 10504099) (32815300 12566599) (34234500 15041599) (32111000 10494101) (41397300 10081600) (41397300 9266600) (2182500 816199) (5081200 811200) (7983900 810200) (10146400 2039400) (12194700 3245800) (14248200 4452000) (16301701 5658200) (18350100 6869600) (20403500 8075800) (22456900 9282999) (1449400 1228300) (2906700 1224299) (4355100 1224299) (5805300 1222300) (7253700 1222300) (8700001 1224299) (10146400 1224299) (10749400 2430500) (12194700 2430500) (12802800 3637800) (14248200 3637800) (14856300 4848100) (16301701 4848100) (16908800 6054300) (18350100 6054300) (18958200 7261600) (20403500 7261600) (21011700 8467899) (22456900 8467899) (23060100 9679199) (40683000 10504099) (37825700 11329100) (38529900 11741600) (24505300 9679199) (42111700 8854099) (24505300 10489399) (30662102 15454100) (30672300 13804100) (726300 820200) (3627900 816199) (6526600 811200) (9419100 818200) (11472500 2025400) (13525001 3231800) (15574400 4438000) (17627902 5644200) (19676402 6855600) (21729802 8061800) (23783200 9268999) (42826000 11741600) (34958296 11329100) (44979000 11329100) (32815300 11741600) (34234500 14216600) (31396700 10081600) (40683000 11329100) (37111296 11741600) (31376600 15041599) (30672300 12979099) (39254304 11329100) (32805500 14216600) (30672300 11329100) (32091102 15454100) (32805604 15041599) (31376600 12566599) (31376600 11741600) (43550400 11329100) (35672600 11741600) (33519600 11329100) (41397300 11741600) (45693396 11741600) (37111296 12566599) (32091102 13804100) (29947900 11741600) (42111700 8019100) (34244000 11741600) (42121700 11329100) (44264700 11741600) (33520000 13804100) (30672300 10494101) (39968700 11741600) (36387000 11329100) (30662102 16279100) (29947900 14226700) (34948996 13804100) (31396700 9266600) (39254304 10504099) (32091102 16279100) (33520000 15454100) (43550400 10504099) (35672600 12566599) (33519600 10494101) (41397300 12566599) (45693396 12566599) (46407700 11329100) (36387000 12979099) (37825700 12979099) (26755200 12144600) (26761502 10494801) (28411500 10501101) (28408402 12150999) (25933500 11316500) (32090900 11329100) (31376600 14216600) (29947900 12566599) (32091102 12979099) (29233600 11329100) (27583400 11322800) (26758400 11319599) (28408402 11326000))	
